tahun,tanggal_kejadian,jenis_kriminal,wilayah,kepadatan_penduduk,pengangguran_persen
2020,2020-06-15,PEMBUNUHAN,JAKARTA BARAT,2458707,7.1
2020,2020-09-22,KRIMINALITAS,JAKARTA BARAT,2458707,7.1
2020,2020-11-30,KESUSILAAN,JAKARTA BARAT,2458707,7.1
2020,2020-03-10,KRIMINALITAS,JAKARTA BARAT,2458707,7.1
2020,2020-07-18,KEKERASAN,JAKARTA BARAT,2458707,7.1
2020,2020-05-25,PENCURIAN,JAKARTA BARAT,2458707,7.1
2020,2020-08-14,NARKOTIKA,JAKARTA BARAT,2458707,7.1
2020,2020-10-03,PENIPUAN/PENGGELAPAN,JAKARTA BARAT,2458707,7.1
2020,2020-12-20,KRIMINALITAS,JAKARTA BARAT,2458707,7.1
2020,2020-02-08,PEMBUNUHAN,JAKARTA TIMUR,3066074,8.39
2020,2020-04-17,KRIMINALITAS,JAKARTA TIMUR,3066074,8.39
2020,2020-07-26,KESUSILAAN,JAKARTA TIMUR,3066074,8.39
2020,2020-09-14,KRIMINALITAS,JAKARTA TIMUR,3066074,8.39
2020,2020-11-03,KEKERASAN,JAKARTA TIMUR,3066074,8.39
2020,2020-01-22,PENCURIAN,JAKARTA TIMUR,3066074,8.39
2020,2020-06-09,NARKOTIKA,JAKARTA TIMUR,3066074,8.39
2020,2020-08-28,PENIPUAN/PENGGELAPAN,JAKARTA TIMUR,3066074,8.39
2020,2020-10-15,KRIMINALITAS,JAKARTA TIMUR,3066074,8.39
2020,2020-03-05,PEMBUNUHAN,JAKARTA PUSAT,1053482,5.88
2020,2020-05-14,KRIMINALITAS,JAKARTA PUSAT,1053482,5.88
2020,2020-07-23,KESUSILAAN,JAKARTA PUSAT,1053482,5.88
2020,2020-09-30,KRIMINALITAS,JAKARTA PUSAT,1053482,5.88
2020,2020-11-18,KRIMINALITAS,JAKARTA PUSAT,1053482,5.88
2020,2020-01-07,PENCURIAN,JAKARTA PUSAT,1053482,5.88
2020,2020-04-26,NARKOTIKA,JAKARTA PUSAT,1053482,5.88
2020,2020-06-15,PENIPUAN/PENGGELAPAN,JAKARTA PUSAT,1053482,5.88
2020,2020-08-24,KRIMINALITAS,JAKARTA PUSAT,1053482,5.88
2020,2020-02-12,PEMBUNUHAN,JAKARTA SELATAN,2234262,5.63
2020,2020-04-21,KEKERASAN,JAKARTA SELATAN,2234262,5.63
2020,2020-06-30,KESUSILAAN,JAKARTA SELATAN,2234262,5.63
